,name,x,y,width,height
0,000_ePQknW8cTp8,0.430591,0.379167,0.390746,0.558333
1,000_ePQknW8cTp8,0.784704,0.575000,0.345758,0.590000
2,000_ePQknW8cTp8,0.199229,0.567500,0.205656,0.258333
3,000_ePQknW8cTp8,0.144602,0.334167,0.219794,0.261667
4,001_2jP9N_ipAo8,0.515714,0.529524,0.331429,0.346667
5,001_2jP9N_ipAo8,0.174286,0.684762,0.302857,0.493333
6,001_2jP9N_ipAo8,0.287143,0.375238,0.271429,0.350476
7,001_2jP9N_ipAo8,0.828571,0.570476,0.317143,0.375238
8,002_hNh3aQSH-ZM,0.267143,0.557252,0.437143,0.469466
9,002_hNh3aQSH-ZM,0.529286,0.225191,0.224286,0.270992
10,002_hNh3aQSH-ZM,0.721429,0.329198,0.220000,0.238550
11,002_hNh3aQSH-ZM,0.591429,0.529580,0.205714,0.265267
12,002_hNh3aQSH-ZM,0.840714,0.570611,0.295714,0.347328
13,003_4AurAO4Jil8,0.235625,0.375000,0.263750,0.250000
14,003_4AurAO4Jil8,0.470000,0.466667,0.335000,0.320000
15,003_4AurAO4Jil8,0.756875,0.505000,0.301250,0.550000
16,003_4AurAO4Jil8,0.315000,0.695000,0.347500,0.303333
17,004_Syi3NxxviC0,0.685333,0.460924,0.410667,0.801066
18,004_Syi3NxxviC0,0.250000,0.412966,0.457333,0.499112
19,005_sUqyy4Yb9VY,0.265625,0.498145,0.523750,0.651206
20,005_sUqyy4Yb9VY,0.783750,0.402597,0.405000,0.738404
21,006_1_E6AXBJqn4,0.256875,0.592500,0.508750,0.641667
22,006_1_E6AXBJqn4,0.735625,0.563333,0.466250,0.436667
23,010_Rk1D3EG856g,0.326250,0.273333,0.300000,0.366667
24,010_Rk1D3EG856g,0.511250,0.317500,0.120000,0.161667
25,010_Rk1D3EG856g,0.653750,0.260833,0.230000,0.398333
26,010_Rk1D3EG856g,0.687500,0.619167,0.245000,0.345000
27,010_Rk1D3EG856g,0.250625,0.634167,0.241250,0.305000
28,011_WtefvQHAs0w,0.548750,0.500833,0.902500,0.998333
29,012_i_TOGa08rRE,0.385000,0.344167,0.250000,0.478333
30,012_i_TOGa08rRE,0.221875,0.609167,0.241250,0.381667
31,012_i_TOGa08rRE,0.696875,0.506667,0.406250,0.793333
32,013_bhSPsvLNpKk,0.451875,0.712500,0.798750,0.468333
33,013_bhSPsvLNpKk,0.532500,0.430000,0.672500,0.693333
34,014_DU4RE5bim5A,0.288750,0.597500,0.567500,0.501667
35,014_DU4RE5bim5A,0.578125,0.556667,0.498750,0.886667
