,file,min_x,min_y,max_x,max_y
0,000_ePQknW8cTp8,183,60,487,60
1,000_ePQknW8cTp8,476,168,745,168
2,000_ePQknW8cTp8,75,263,235,263
3,000_ePQknW8cTp8,27,122,198,122
4,001_2jP9N_ipAo8,245,187,477,187
5,001_2jP9N_ipAo8,16,230,228,230
6,001_2jP9N_ipAo8,106,105,296,105
7,001_2jP9N_ipAo8,469,201,691,201
8,002_hNh3aQSH-ZM,34,169,340,169
9,002_hNh3aQSH-ZM,292,47,449,47
10,002_hNh3aQSH-ZM,428,110,582,110
11,002_hNh3aQSH-ZM,342,208,486,208
12,002_hNh3aQSH-ZM,485,208,692,208
13,003_4AurAO4Jil8,83,150,294,150
14,003_4AurAO4Jil8,242,184,510,184
15,003_4AurAO4Jil8,485,138,726,138
16,003_4AurAO4Jil8,113,326,391,326
17,004_Syi3NxxviC0,360,34,668,34
18,004_Syi3NxxviC0,16,92,359,92
19,005_sUqyy4Yb9VY,3,93,422,93
20,005_sUqyy4Yb9VY,465,18,789,18
21,006_1_E6AXBJqn4,2,163,409,163
22,006_1_E6AXBJqn4,402,207,775,207
23,010_Rk1D3EG856g,141,54,381,54
24,010_Rk1D3EG856g,361,142,457,142
25,010_Rk1D3EG856g,431,37,615,37
26,010_Rk1D3EG856g,452,268,648,268
27,010_Rk1D3EG856g,104,289,297,289
28,011_WtefvQHAs0w,78,1,800,1
29,012_i_TOGa08rRE,208,63,408,63
30,012_i_TOGa08rRE,81,251,274,251
31,012_i_TOGa08rRE,395,66,720,66
32,013_bhSPsvLNpKk,42,287,681,287
33,013_bhSPsvLNpKk,157,50,695,50
34,014_DU4RE5bim5A,4,208,458,208
35,014_DU4RE5bim5A,263,68,662,68
36,014_DU4RE5bim5A,515,2,800,2
37,016_qNYODERZEms,467,120,745,120
38,016_qNYODERZEms,232,39,501,39
39,016_qNYODERZEms,1,282,293,282
40,016_qNYODERZEms,2,56,167,56
41,016_qNYODERZEms,1,1,283,1
42,017_QHGfbEiWvq8,183,76,640,76
43,019_aaTsKm7exKE,48,168,223,168
44,019_aaTsKm7exKE,167,59,451,59
45,019_aaTsKm7exKE,259,266,529,266
46,019_aaTsKm7exKE,438,108,665,108
47,019_aaTsKm7exKE,604,222,776,222
48,020_vZJfrjIwmqU,225,157,595,157
49,021_4oXjCmKNCRU,119,65,271,65
50,021_4oXjCmKNCRU,110,209,226,209
51,021_4oXjCmKNCRU,106,345,315,345
52,021_4oXjCmKNCRU,283,209,435,209
53,021_4oXjCmKNCRU,344,311,571,311
54,021_4oXjCmKNCRU,448,16,679,16
55,021_4oXjCmKNCRU,439,253,496,253
56,021_4oXjCmKNCRU,643,205,773,205
57,024_W0PmnqQTGx8,283,70,525,70
58,026_YNs45yuMk_4,231,426,352,426
59,026_YNs45yuMk_4,145,40,527,40
60,026_YNs45yuMk_4,387,118,681,118
61,027_-CwuQDPShnA,115,12,258,12
62,027_-CwuQDPShnA,175,32,395,32
63,027_-CwuQDPShnA,30,237,256,237
64,027_-CwuQDPShnA,450,54,602,54
65,027_-CwuQDPShnA,371,234,597,234
66,027_-CwuQDPShnA,634,142,768,142
67,028_-vDPakMKna4,126,87,371,87
68,028_-vDPakMKna4,388,55,705,55
