,name,x,y,width,height
0,088_y_LuNHXB7bQ,0.751875,0.763602,0.296250,0.416510
1,088_y_LuNHXB7bQ,0.364375,0.748593,0.253750,0.266417
2,088_y_LuNHXB7bQ,0.181875,0.676360,0.183750,0.335835
3,088_y_LuNHXB7bQ,0.493125,0.541276,0.281250,0.444653
4,089_gVYja0jrLJQ,0.181875,0.374167,0.326250,0.461667
5,089_gVYja0jrLJQ,0.807500,0.405000,0.375000,0.590000
6,089_gVYja0jrLJQ,0.532500,0.359167,0.242500,0.415000
7,090_zV2kIl2nwbY,0.595333,0.750000,0.150667,0.231225
8,090_zV2kIl2nwbY,0.191333,0.826087,0.129333,0.217391
9,090_zV2kIl2nwbY,0.386667,0.617589,0.205333,0.377470
10,090_zV2kIl2nwbY,0.196000,0.502964,0.256000,0.448617
11,090_zV2kIl2nwbY,0.810000,0.495059,0.297333,0.519763
12,090_zV2kIl2nwbY,0.415333,0.224308,0.321333,0.416996
13,090_zV2kIl2nwbY,0.558667,0.355731,0.213333,0.418972
14,091_DP3sGfFoSx0,0.226250,0.585000,0.320000,0.436667
15,091_DP3sGfFoSx0,0.471875,0.425833,0.256250,0.461667
16,091_DP3sGfFoSx0,0.609375,0.311667,0.223750,0.450000
17,091_DP3sGfFoSx0,0.719375,0.615833,0.198750,0.315000
18,091_DP3sGfFoSx0,0.850625,0.693333,0.131250,0.210000
19,092_DERH9E3-ATk,0.521576,0.587500,0.393996,0.422500
20,093_8wCBpma2Hps,0.214000,0.286856,0.414667,0.531083
21,094_enU04MrUSBQ,0.329375,0.350844,0.251250,0.431520
22,094_enU04MrUSBQ,0.668750,0.478424,0.430000,0.555347
23,095_Nbo-W6d8WNM,0.219375,0.602251,0.143750,0.337711
24,095_Nbo-W6d8WNM,0.822500,0.627580,0.192500,0.290807
25,095_Nbo-W6d8WNM,0.638125,0.299250,0.161250,0.283302
26,095_Nbo-W6d8WNM,0.583750,0.537523,0.162500,0.193246
27,095_Nbo-W6d8WNM,0.470000,0.742964,0.187500,0.322702
28,095_Nbo-W6d8WNM,0.423750,0.311445,0.327500,0.589118
29,096_Al-C5kAdQ3Q,0.170625,0.534167,0.163750,0.245000
30,096_Al-C5kAdQ3Q,0.211250,0.792500,0.137500,0.225000
31,096_Al-C5kAdQ3Q,0.461250,0.300000,0.475000,0.566667
32,097_SpgTx-oyDS8,0.177500,0.420833,0.305000,0.628333
33,097_SpgTx-oyDS8,0.453750,0.516667,0.220000,0.486667
34,097_SpgTx-oyDS8,0.687500,0.334167,0.272500,0.441667
35,097_SpgTx-oyDS8,0.680000,0.695000,0.307500,0.316667
36,097_SpgTx-oyDS8,0.877500,0.500000,0.207500,0.543333
37,098_kZeLGttR7iU,0.392982,0.517523,0.550877,0.834112
38,100_w6tcyq1AMVk,0.128544,0.428841,0.238185,0.363980
39,100_w6tcyq1AMVk,0.355860,0.391688,0.225898,0.375315
40,100_w6tcyq1AMVk,0.612004,0.369647,0.138941,0.200252
41,100_w6tcyq1AMVk,0.904537,0.451511,0.173913,0.253149
42,101_m1QUT_IvswY,0.227056,0.620072,0.110846,0.168459
43,101_m1QUT_IvswY,0.607271,0.402330,0.270560,0.539427
44,101_m1QUT_IvswY,0.336114,0.406810,0.252682,0.698925
45,101_m1QUT_IvswY,0.832539,0.708781,0.272944,0.299283
46,102_8dfOpSgtVsc,0.432161,0.313616,0.201005,0.542411
47,102_8dfOpSgtVsc,0.689280,0.348214,0.185930,0.455357
48,102_8dfOpSgtVsc,0.402848,0.580357,0.654941,0.647321
49,103_PteuQn34t3Q,0.490833,0.414080,0.325000,0.466741
50,104_1SQ2JlcvPRw,0.384250,0.474375,0.609108,0.671250
51,105_xRDlUeVh5-c,0.333750,0.402290,0.352500,0.468702
52,105_xRDlUeVh5-c,0.628750,0.453435,0.312500,0.555725
53,106_uq4J1lNPq_E,0.237822,0.435455,0.309456,0.321818
54,106_uq4J1lNPq_E,0.549427,0.449091,0.230659,0.236364
55,107_Y5slg-F0438,0.495487,0.449091,0.344765,0.734545
56,108_SOWwJuh9658,0.618899,0.443333,0.654568,0.526667
57,109_mApfQHzHo0k,0.567500,0.228261,0.130000,0.453177
58,109_mApfQHzHo0k,0.826875,0.320234,0.188750,0.399666
59,109_mApfQHzHo0k,0.320000,0.482441,0.597500,0.583612
60,109_mApfQHzHo0k,0.419375,0.306020,0.263750,0.387960
61,110_CLBtRSNqpXA,0.435526,0.483304,0.200000,0.558875
62,110_CLBtRSNqpXA,0.624342,0.383128,0.248684,0.583480
63,111_YG1OfpJRQGs,0.310000,0.312629,0.140000,0.447205
64,111_YG1OfpJRQGs,0.657857,0.114907,0.095714,0.180124
65,111_YG1OfpJRQGs,0.510714,0.490683,0.112857,0.169772
66,111_YG1OfpJRQGs,0.614286,0.582816,0.760000,0.407867
67,114_jULazA13QC4,0.471250,0.429167,0.402500,0.551667
68,115_iRayLid_eOM,0.351875,0.360833,0.206250,0.435000
69,115_iRayLid_eOM,0.533750,0.383333,0.155000,0.226667
70,115_iRayLid_eOM,0.665625,0.575000,0.153750,0.280000
71,116_V-662GMGI6U,0.268750,0.608333,0.177500,0.360000
72,116_V-662GMGI6U,0.609375,0.585000,0.131250,0.310000
73,116_V-662GMGI6U,0.744375,0.466667,0.111250,0.286667
74,116_V-662GMGI6U,0.393125,0.297500,0.283750,0.571667
75,117_2i4Ly-hB5rY,0.295625,0.629167,0.216250,0.308333
76,117_2i4Ly-hB5rY,0.567500,0.371667,0.292500,0.706667
77,117_2i4Ly-hB5rY,0.381875,0.415000,0.253750,0.556667
