,file,min_x,min_y,max_x,max_y
0,0196_uqGMdVItBRg,327,139,868,139
1,0197_egkKmufMaDk,385,120,765,120
2,0198_WNXLtkA7ydA,297,112,734,112
3,0199_eOfAr3CgVhw,190,165,857,165
4,0200_j-fZlBlPoHE,113,140,424,140
5,0200_j-fZlBlPoHE,342,117,608,117
6,0200_j-fZlBlPoHE,421,502,622,502
7,0001_yB5GiXfgyRU,346,144,783,144
8,0002_FVNX1Bdwf4s,312,160,806,160
9,0003_9A6sBrZ3ZaE,162,82,644,82
10,0004_35PYkvNjkns,50,161,147,161
11,0004_35PYkvNjkns,141,114,306,114
12,0004_35PYkvNjkns,308,102,548,102
13,0005_ewWGUA7-KvU,110,66,370,66
14,0005_ewWGUA7-KvU,365,187,551,187
15,0006_Vh24Gx3FuuY,239,101,895,101
16,0007_klZ5Wbedtx8,110,48,506,48
17,0008_AKTJIixVK88,121,73,524,73
18,0009_2hEUS66s6Gw,293,48,662,48
19,0010_7M6YHrGZ3aM,149,148,618,148
20,0010_7M6YHrGZ3aM,676,149,946,149
21,0011_3pjOa46tbrs,117,104,610,104
22,0012_aPBOtpC5qAo,151,93,681,93
23,0013_Pf2a-DpYFsA,127,93,574,93
24,0014_jThdm31BqA0,177,70,909,70
25,0015_koxxuWlLofc,683,139,1003,139
26,0015_koxxuWlLofc,436,148,726,148
27,0016_BdbaNeqknKA,353,22,669,22
28,0016_BdbaNeqknKA,337,240,587,240
29,0016_BdbaNeqknKA,255,190,397,190
30,0016_BdbaNeqknKA,135,50,328,50
31,0016_BdbaNeqknKA,34,195,282,195
32,0017_j-9IXyoRLrY,106,46,589,46
33,0018_PcgJi7QNZ_w,60,96,558,96
34,0019_PxSKuIX0iAM,469,110,807,110
35,0020_EtaUmQL5UH4,100,96,531,96
36,0021_gQ7nmuCS0S4,48,114,533,114
37,0022_9MgcGSynGbk,405,109,918,109
38,0023_JAAEdifq1MY,87,190,538,190
39,0023_JAAEdifq1MY,546,131,883,131
40,0024_0ooZ0mkNXJU,65,40,753,40
41,0025_pHyfi4NDa4Q,455,188,810,188
42,0025_pHyfi4NDa4Q,177,180,481,180
43,0026_F1YdfaWItpI,363,142,856,142
44,0027_-iNiwa0oVIo,341,105,728,105
45,0028_4iHsFc3RHrI,325,140,733,140
46,0029_62qyp3n74q0,215,246,654,246
47,0030_RbPFh3P5ATE,151,119,683,119
48,0031_rzkyX45VjLo,151,148,619,148
49,0032_Sl_iMoAAJyU,77,121,544,121
50,0032_Sl_iMoAAJyU,488,168,924,168
51,0034_UTf2AuBiESI,150,338,296,338
52,0034_UTf2AuBiESI,485,331,699,331
53,0034_UTf2AuBiESI,345,348,527,348
54,0035_MSxXc9wuQP4,389,125,860,125
55,0036_41TvrPm_kzc,59,268,384,268
56,0036_41TvrPm_kzc,364,368,490,368
57,0036_41TvrPm_kzc,471,283,740,283
58,0036_41TvrPm_kzc,99,84,513,84
59,0037_qOpfircUoRA,232,133,742,133
60,0038_kua_jCSpOIs,79,131,615,131
61,0039_HuAnhDpyqsY,403,227,676,227
62,0040_V3ruyiKYD74,121,160,510,160
63,0040_V3ruyiKYD74,587,257,878,257
64,0041_cjdLd3k6H70,136,127,664,127
65,0042_gm_hh5XherQ,172,71,529,71
66,0043_dWwubaDOSfI,506,70,877,70
67,0044_zMTVruDqDhA,146,51,624,51
68,0045_gWlzB0NaDyU,36,59,740,59
69,0046_LLGTJ5NpqtY,156,41,692,41
70,0047_GxDLObPWJ78,220,60,673,60
71,0048_wGU2ETPlfqY,118,91,481,91
72,0048_wGU2ETPlfqY,438,115,725,115
73,0049_EWq9ZCtlWd0,139,31,555,31
74,0050_4Ozga4jcwG0,30,77,337,77
75,0050_4Ozga4jcwG0,316,86,639,86
76,0052_um2UtUJ8cuM,276,69,672,69
77,0053_IRPp7LVeHuw,27,137,441,137
78,0053_IRPp7LVeHuw,423,182,744,182
79,0054_1X0xT6gYsAs,249,273,420,273
80,0054_1X0xT6gYsAs,692,326,880,326
81,0055_C6xQ5UuXDIE,154,157,581,157
82,0055_C6xQ5UuXDIE,589,298,844,298
83,0056_RT58fobfSiY,113,126,710,126
84,0057_xWBkl85FiAk,125,118,442,118
85,0057_xWBkl85FiAk,419,281,626,281
86,0058_djB8UbX-XaU,238,149,730,149
87,0059_k9UhBeiN_1Q,173,144,746,144
88,0060_ph1tt9Qik4Q,81,97,673,97
89,0060_ph1tt9Qik4Q,590,254,912,254
90,0061_-RQMUF6aiTI,492,222,820,222
91,0061_-RQMUF6aiTI,732,521,883,521
92,0061_-RQMUF6aiTI,297,299,547,299
93,0062_U0JGyBTFk0I,212,194,763,194
94,0063_TQC-lIb1Kxc,341,152,683,152
95,0064_VfeZvVx0NK0,306,113,751,113
96,0065_rlzqAD_x-3A,202,238,787,238
97,0066_B8sgGzZUaOs,215,222,655,222
98,0067_WQyWJ44jQVY,148,79,656,79
99,0068_daY7aYwCme0,114,62,846,62
100,0069_4SdrrvGdgtw,97,115,426,115
101,0069_4SdrrvGdgtw,393,137,723,137
102,0069_4SdrrvGdgtw,588,395,838,395
103,0070_oSXloOw9Ngk,325,146,872,146
104,0071_Nfj0A0pl_jw,356,153,679,153
105,0072_CGZ-vVRo0YA,265,21,682,21
106,0073_-fQB9q3nTWU,209,62,625,62
107,0074_-d_w6u6G7wA,378,90,787,90
108,0075_DMm6FldBtXw,40,329,489,329
109,0075_DMm6FldBtXw,492,357,875,357
110,0076_yMZR41Idcn0,167,74,414,74
111,0077_h130cic4yo4,136,122,584,122
112,0078_MvVJnU5i780,99,132,692,132
113,0079_EQMJs1DPN_s,98,125,656,125
114,0080_wlJlB7XvRak,266,118,991,118
115,0081_Jy-UUrFwLMA,156,150,602,150
116,0082_8VgnfZfd71A,259,217,702,217
117,0083_EHoc8dVWTm8,36,59,728,59
118,0083_EHoc8dVWTm8,543,241,922,241
119,0084_VCRPZn7Ef_4,103,169,288,169
120,0084_VCRPZn7Ef_4,218,50,577,50
121,0085_CmVBoyP8w0c,182,228,632,228
122,0085_CmVBoyP8w0c,600,246,962,246
123,0086_iDg6V82x4Uw,321,101,789,101
124,0086_iDg6V82x4Uw,656,301,887,301
125,0087_zY-5wOyCuYY,383,196,699,196
